,__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,text,twitteratiScore,updatedAt,url,username
0,0,5f7c8bcfe0c44f001bfe2c35,4.59511985013459,59d21e9b83a0523906a45dc5,2020-10-06T15:22:55.477Z,0,[],74167.13854577605,1313498154600456193,True,en,[http://Block.one],"[EOS_Nation, googlecloud]",2020-10-06T15:15:38.000Z,22,[],"RT @EOS_Nation: WOW! Game on EOS!😁

https://t.co/cMexWBgZXG just announced that @googlecloud  is taking steps to become an EOS network bloc…",0,2020-10-06T15:22:55.477Z,https://cryptocontrol.io/r/api/tweet/5f7c8bcfe0c44f001bfe2c35?ref=5f963694c3be7e001761fc25,block_one_
1,0,5f7c9e903cd0430017fefa03,3.919991175077323,59d21e9b83a0523906a45dc5,2020-10-06T16:42:57.292Z,16,[],74166.6972596936,1313519342101823488,False,en,"[http://Block.one, https://block.one/news/martin-chavez-appointed-chair-advisory-board/?utm_source=twitter&utm_medium=social&utm_campaign=b1updates&utm_content=MC]",[RMartinChavez],2020-10-06T16:39:49.000Z,8,[],Goldman Sachs tech and finance veteran @RMartinChavez to lead https://t.co/LgcclYjBIb Advisory Board. https://t.co/XKRi7rWvYM,0,2020-10-06T16:42:57.292Z,https://cryptocontrol.io/r/api/tweet/5f7c9e903cd0430017fefa03?ref=5f963694c3be7e001761fc25,block_one_
2,0,5f7c8bcee0c44f001bfe2c34,2.8903717578961645,59d21e9b83a0523906a45dc5,2020-10-06T15:22:55.476Z,0,[],74165.45185323937,1313499791171739651,True,en,[https://zd.net/3nq05wI],"[ZDNet, SecurityCharlie]",2020-10-06T15:22:08.000Z,4,[],RT @ZDNet: Google Cloud joins the EOS blockchain network as block producer candidate https://t.co/PlUsYymiBV by @SecurityCharlie,0,2020-10-06T15:22:55.476Z,https://cryptocontrol.io/r/api/tweet/5f7c8bcee0c44f001bfe2c34?ref=5f963694c3be7e001761fc25,block_one_
3,0,5f7c8811a7c2cd00176b87e1,2.8903717578961645,59d21e9b83a0523906a45dc5,2020-10-06T15:06:57.665Z,10,[EOS],74165.40639027642,1313495673497583617,False,en,[https://block.one/news/welcome-google-cloud-to-eos-community/?utm_source=&utm_medium=social&utm_campaign=&utm_content=],[googlecloud],2020-10-06T15:05:46.000Z,2,[],Welcome @GoogleCloud to the #EOS community! https://t.co/nh5YOsmy69 https://t.co/aZwuTkqXQ7,0,2020-10-06T15:06:57.665Z,https://cryptocontrol.io/r/api/tweet/5f7c8811a7c2cd00176b87e1?ref=5f963694c3be7e001761fc25,block_one_
4,0,5f76aa26f768e400186b6277,0.0,59d21e9b83a0523906a45dc5,2020-10-02T04:18:47.374Z,0,[],74144.67601851851,1311879420878217217,False,und,[https://twitter.com/eosargentina/status/1304135027631022082?s=20],[],2020-10-02T04:03:22.000Z,0,[],https://t.co/AbJ8XXinCf (6/6),0,2020-10-02T04:18:47.374Z,https://cryptocontrol.io/r/api/tweet/5f76aa26f768e400186b6277?ref=5f963694c3be7e001761fc25,block_one_
5,0,5f76aa26f768e400186b6276,0.0,59d21e9b83a0523906a45dc5,2020-10-02T04:18:47.374Z,0,[],74144.67444444445,1311879279777546240,False,und,[https://twitter.com/atticlab_it/status/1308095190587060224],[],2020-10-02T04:02:48.000Z,0,[],https://t.co/4BsD9Bpliq (5/6),0,2020-10-02T04:18:47.374Z,https://cryptocontrol.io/r/api/tweet/5f76aa26f768e400186b6276?ref=5f963694c3be7e001761fc25,block_one_
6,0,5f76a666f768e400186b48a3,0.0,59d21e9b83a0523906a45dc5,2020-10-02T04:02:47.361Z,0,[],74144.67324074074,1311879170331480067,False,und,[https://twitter.com/eosphere_io/status/1308340621577388034],[],2020-10-02T04:02:22.000Z,0,[],https://t.co/wuQGmenoMw (4/6),0,2020-10-02T04:02:47.361Z,https://cryptocontrol.io/r/api/tweet/5f76a666f768e400186b48a3?ref=5f963694c3be7e001761fc25,block_one_
7,0,5f76a666f768e400186b48a5,0.0,59d21e9b83a0523906a45dc5,2020-10-02T04:02:47.361Z,0,[],74144.67064814815,1311878937027502080,False,und,[https://twitter.com/Blockpool_EOS/status/1308342417767030784],[],2020-10-02T04:01:26.000Z,0,[],https://t.co/4norctFUIY (3/6),0,2020-10-02T04:02:47.361Z,https://cryptocontrol.io/r/api/tweet/5f76a666f768e400186b48a5?ref=5f963694c3be7e001761fc25,block_one_
8,0,5f76a666f768e400186b48a2,0.0,59d21e9b83a0523906a45dc5,2020-10-02T04:02:47.361Z,0,[],74144.66981481481,1311878859726426120,False,und,[https://twitter.com/EOSauthority/status/1310555056455004160],[],2020-10-02T04:01:08.000Z,0,[],https://t.co/mcRH3bTVQ0 (2/6),0,2020-10-02T04:02:47.361Z,https://cryptocontrol.io/r/api/tweet/5f76a666f768e400186b48a2?ref=5f963694c3be7e001761fc25,block_one_
9,0,5f76a666f768e400186b48a4,0.0,59d21e9b83a0523906a45dc5,2020-10-02T04:02:47.361Z,0,[EOS],74144.66902777778,1311878788515590144,False,en,[https://twitter.com/i/web/status/1311878788515590144],[],2020-10-02T04:00:51.000Z,0,[],Here’s some of the recent feedback we’ve received on the #EOS Resource Model Proposal. More on how you can contribu… https://t.co/F2hJHMQOw4,0,2020-10-02T04:02:47.361Z,https://cryptocontrol.io/r/api/tweet/5f76a666f768e400186b48a4?ref=5f963694c3be7e001761fc25,block_one_
